name,Gender,Country_1,Continent_1,Subregion_1,community,degree,strength,betweenness,closeness,pagerank,eigenvector,constraint,inv_constraint,degree_pct,strength_pct,betweenness_pct,closeness_pct,pagerank_pct,eigenvector_pct,inv_constraint_pct,sci_index
0000-0003-4138-6897,Male,Turkey,Asia,Western Asia,4,21,21,93.88476676757234,0.00847457627118644,0.014444584005576288,0.173738226251163,0.13437013295527966,7.442074633193813,0.45652173913043476,0.38405797101449274,0.9420289855072463,0.5217391304347826,0.4057971014492754,0.37681159420289856,0.5072463768115942,0.5134575569358178
0000-0001-8743-7800,Male,United Kingdom,Europe,Northern Europe,6,31,39,7.457792615880851,0.008547008547008548,0.019692036122695707,0.9999999999999999,0.12391665090873609,8.069875378258166,0.8043478260869565,0.9130434782608695,0.2608695652173913,0.5942028985507246,0.9057971014492754,0.9130434782608695,0.7101449275362319,0.7287784679089027
0000-0001-9376-8366,Male,United States of America,Americas,Northern America,4,27,31,56.99316039871686,0.008695652173913044,0.020178934848657726,0.20757293900693666,0.1262576172130302,7.9202514812335325,0.5579710144927537,0.6304347826086957,0.855072463768116,0.7101449275362319,0.9565217391304348,0.5072463768115942,0.5507246376811594,0.6811594202898551
0000-0002-6079-3554,Female,Portugal,Europe,Southern Europe,6,31,33,23.440824453324446,0.009009009009009009,0.01755244562968922,0.7914151839088636,0.11540242611054322,8.66525400244283,0.8043478260869565,0.7608695652173914,0.6811594202898551,0.8188405797101449,0.7536231884057971,0.7681159420289855,0.855072463768116,0.777432712215321
0000-0001-9136-0949,Male,People's Republic of China,Asia,Eastern Asia,6,29,29,33.999731339165336,0.009174311926605505,0.01530222076031647,0.7326518323607096,0.11792413365162482,8.479956469281657,0.644927536231884,0.5797101449275363,0.8260869565217391,0.8913043478260869,0.4782608695652174,0.5942028985507246,0.782608695652174,0.6853002070393375
0000-0001-8994-5251,Male,United States of America,Americas,Northern America,4,21,23,25.239305264533474,0.008333333333333333,0.01511411181019661,0.1672254559744565,0.15288555310603197,6.540797602431827,0.45652173913043476,0.43478260869565216,0.7101449275362319,0.4927536231884058,0.463768115942029,0.36231884057971014,0.4057971014492754,0.4751552795031056
0000-0001-6348-8734,Male,United Kingdom,Europe,Northern Europe,7,6,6,8.746604463647808,0.00684931506849315,0.005890372327522007,0.045828237877881796,0.24069215237535335,4.154667426684959,0.08695652173913043,0.06521739130434782,0.391304347826087,0.17391304347826086,0.057971014492753624,0.07246376811594203,0.13043478260869565,0.13975155279503107
0000-0003-1861-8813,Male,Italy,Europe,Southern Europe,8,9,9,1.7686507936507936,0.006172839506172839,0.006644539224045195,0.1804327631207422,0.19816953039679436,5.046158972263497,0.16666666666666666,0.15942028985507245,0.057971014492753624,0.057971014492753624,0.08695652173913043,0.391304347826087,0.2028985507246377,0.16045548654244307
0000-0002-3332-4621,Female,United States of America,Americas,Northern America,2,8,8,11.444036155101251,0.0072992700729927005,0.007133784607228809,0.048352840250541707,0.22261513021415102,4.492037477419204,0.14492753623188406,0.10869565217391304,0.4782608695652174,0.21739130434782608,0.10144927536231885,0.08695652173913043,0.14492753623188406,0.18322981366459629
0000-0002-7993-5540,Male,People's Republic of China,Asia,Eastern Asia,6,30,30,72.92460118597083,0.009345794392523364,0.016289923016269327,0.733009500122735,0.11213034617975633,8.91811285665752,0.6811594202898551,0.6086956521739131,0.9130434782608695,0.9492753623188406,0.4927536231884058,0.6086956521739131,0.8840579710144928,0.7339544513457557
0000-0002-2198-6740,Female,Portugal,Europe,Southern Europe,6,31,33,23.440824453324446,0.009009009009009009,0.017552445629689207,0.7914151839088635,0.11540242611054322,8.66525400244283,0.8043478260869565,0.7608695652173914,0.6811594202898551,0.8188405797101449,0.7246376811594203,0.7536231884057971,0.855072463768116,0.7712215320910973
